id,name,city_orig,city,neighborhood,rating,rating_count,cost,,cuisine,,
16770,Palace Heights,"Abids & Koti,Hyderabad",Hyderabad,Abids & Koti,4.2,50+ ratings,₹ 1700,1700,"North Indian,Chinese",,
10273,Scoops,"Abids & Koti,Hyderabad",Hyderabad,Abids & Koti,4.3,500+ ratings,₹ 200,200,"Ice Cream,Desserts",,
6851,Agrawala Sweets,"Abids & Koti,Hyderabad",Hyderabad,Abids & Koti,4.4,100+ ratings,₹ 250,250,"Sweets,Fast Food",,
28990,Krupa Mess & tiffins,"Abids & Koti,Hyderabad",Hyderabad,Abids & Koti,3.5,1K+ ratings,₹ 200,200,South Indian,,
403007,Haldirams Sweets and Namkeen,"Abids & Koti,Hyderabad",Hyderabad,Abids & Koti,4.1,100+ ratings,₹ 300,300,"Sweets,Snacks",,
113043,Simrats Dhaba,"Abids & Koti,Hyderabad",Hyderabad,Abids & Koti,4.1,100+ ratings,₹ 300,300,"North Indian,Chinese",,
107827,Asoka Restaurant,"Abids & Koti,Hyderabad",Hyderabad,Abids & Koti,3.6,50+ ratings,₹ 450,450,"Biryani,Kebabs",,
300026,kolhapuri thaska,"Abids & Koti,Hyderabad",Hyderabad,Abids & Koti,3.9,50+ ratings,₹ 100,100,"Indian,Fast Food",,
40476,Marathi Katta,"Abids & Koti,Hyderabad",Hyderabad,Abids & Koti,4.1,500+ ratings,₹ 150,150,Maharashtrian,,
22948,Makers of Milkshakes,"Abids & Koti,Hyderabad",Hyderabad,Abids & Koti,4,100+ ratings,₹ 260,260,"Beverages,Desserts",,
38675,Softy Den,"Abids & Koti,Hyderabad",Hyderabad,Abids & Koti,4.1,100+ ratings,₹ 150,150,Beverages,,
385130,Santosh Family Dhaba,"Abids & Koti,Hyderabad",Hyderabad,Abids & Koti,3.9,100+ ratings,₹ 300,300,"North Indian,Biryani",,
329070,Kamath Hotel,"Abids & Koti,Hyderabad",Hyderabad,Abids & Koti,4.4,1K+ ratings,₹ 200,200,South Indian,,
556185,Sailaja Restaurant And Bar,"Abids & Koti,Hyderabad",Hyderabad,Abids & Koti,--,Too Few Ratings,₹ 300,300,"Indian,Chinese",,
379892,The Brooklyn Creamery - Healthy Ice Cream,"Abids & Koti,Hyderabad",Hyderabad,Abids & Koti,--,Too Few Ratings,₹ 200,200,"Desserts,Ice Cream",,
37103,KFC,"Abids & Koti,Hyderabad",Hyderabad,Abids & Koti,4,500+ ratings,₹ 400,400,"American,Snacks",,
9848,Sri Balaji Family Dhaba - Ramkote,"Abids & Koti,Hyderabad",Hyderabad,Abids & Koti,4,1K+ ratings,₹ 200,200,"Punjabi,North Indian",,
479589,NITAI CHAND SWEETS AND BAKERY,"Abids & Koti,Hyderabad",Hyderabad,Abids & Koti,--,Too Few Ratings,₹ 300,300,Sweets,,
567335,AB FOODS POINT,Abohar,Abohar,,--,Too Few Ratings,₹ 200,200,"Beverages,Pizzas",,
531342,Janta Sweet House,Abohar,Abohar,,4.4,50+ ratings,₹ 200,200,"Sweets,Bakery",,
158203,theka coffee desi,Abohar,Abohar,,3.8,100+ ratings,₹ 100,100,Beverages,,
187912,Singh Hut,Abohar,Abohar,,3.7,20+ ratings,₹ 250,250,"Fast Food,Indian",,
543530,GRILL MASTERS,Abohar,Abohar,,--,Too Few Ratings,₹ 250,250,"Italian-American,Fast Food",,
158204,Sam Uncle,Abohar,Abohar,,3.6,20+ ratings,₹ 200,200,Continental,,
156588,shere punjab veg,Abohar,Abohar,,4,100+ ratings,₹ 150,150,North Indian,,
244866,Shri Balaji Vaishno Dhaba,Abohar,Abohar,,--,Too Few Ratings,₹ 100,100,North Indian,,
156602,Hinglaj Kachori Bhandhar,Abohar,Abohar,,4.2,20+ ratings,₹ 100,100,"Snacks,Chaat",,
158193,yummy hub,Abohar,Abohar,,--,Too Few Ratings,₹ 200,200,Indian,,
407249,CHAWLA SAAB THE JUICE MASTER,Abohar,Abohar,,--,Too Few Ratings,₹ 300,300,"Juices,Beverages",,
156590,Sethi Milk Badam,Abohar,Abohar,,4.2,20+ ratings,₹ 100,100,"Sweets,Desserts",,
338749,Swastik Dhaba,Abohar,Abohar,,--,Too Few Ratings,₹ 200,200,North Indian,,
156601,Jodhpuri Kachori,Abohar,Abohar,,--,Too Few Ratings,₹ 100,100,Snacks,,
156587,Bharawan Da Dhaba,Abohar,Abohar,,4.4,50+ ratings,₹ 300,300,Indian,,
158192,Tandoori Nights,Abohar,Abohar,,--,Too Few Ratings,₹ 300,300,Tandoor,,
394554,Roll Express,Abohar,Abohar,,4,20+ ratings,₹ 200,200,Fast Food,,
158195,wah ji waah veg and non veg corner,Abohar,Abohar,,--,Too Few Ratings,₹ 200,200,"North Indian,Chinese",,
257181,Shri Balaji fast food and Variety store,Abohar,Abohar,,--,Too Few Ratings,₹ 100,100,Indian,,
530909,FOODY MOOD,Abohar,Abohar,,4.7,20+ ratings,₹ 300,300,"Fast Food,Chinese",,
573649,PUNJABI TADKA,Abohar,Abohar,,--,Too Few Ratings,₹ 700,700,"Punjabi,North Indian",,
573656,PUNJABI TADKA CHICKEN HUB,Abohar,Abohar,,--,Too Few Ratings,₹ 650,650,"North Indian,Tandoor",,
420675,Royal Chicken,Abohar,Abohar,,4.2,20+ ratings,₹ 200,200,"Mughlai,North Indian",,
427610,Just Baked,Abohar,Abohar,,--,Too Few Ratings,₹ 300,300,"Beverages,Pizzas",,
435582,Picado International Food,Abohar,Abohar,,--,Too Few Ratings,₹ 300,300,"Pizzas,Beverages",,
382204,PubG Cafe,Abohar,Abohar,,--,Too Few Ratings,₹ 200,200,"Chinese,Pizzas",,
460692,Verma Dhaba,Abohar,Abohar,,--,Too Few Ratings,₹ 300,300,Indian,,
368328,Fresh Food Cafe,Abohar,Abohar,,--,Too Few Ratings,₹ 150,150,North Indian,,
530878,NAVU PIZZA HOUSE,Abohar,Abohar,,--,Too Few Ratings,₹ 300,300,"Pizzas,Fast Food",,
171675,Domino's Pizza,Abohar,Abohar,,4.4,20+ ratings,₹ 400,400,Pizzas,,
475283,Joker Cafe,Abohar,Abohar,,--,Too Few Ratings,₹ 200,200,Indian,,
421155,Deepak Dhaba,Abohar,Abohar,,--,Too Few Ratings,₹ 350,350,"North Indian,Chinese",,
545273,FUN TIME (SHARMA DAIRY),Abohar,Abohar,,--,Too Few Ratings,₹ 300,300,Ice Cream,,
440811,Pari Healthy Food,Abohar,Abohar,,--,Too Few Ratings,₹ 300,300,"Pizzas,American",,
420586,Bhatti Ki Rasoi,Abohar,Abohar,,--,Too Few Ratings,₹ 200,200,North Indian,,
448046,SETHI PUNJABI RASOI,Abohar,Abohar,,--,Too Few Ratings,₹ 300,300,Indian,,
187921,Kurda Ram Desi Ghee Dhaba(Original & Famous),Abohar,Abohar,,--,Too Few Ratings,₹ 250,250,North Indian,,
551512,Paratha 24x7,Abohar,Abohar,,--,Too Few Ratings,₹ 150,150,"Indian,Thalis",,
351387,NIKKU VEG THALI,Abohar,Abohar,,4.1,100+ ratings,₹ 150,150,North Indian,,
432675,PARJAPATI FAST FOOD,Abohar,Abohar,,--,Too Few Ratings,₹ 200,200,"Fast Food,American",,
302868,Ganesh Fast Food,Abohar,Abohar,,--,Too Few Ratings,₹ 150,150,Chaat,,
567664,Mitran Da dhaba,Abohar,Abohar,,--,Too Few Ratings,₹ 200,200,"North Indian,Indian",,
440878,The Super Cafe,Abohar,Abohar,,--,Too Few Ratings,₹ 250,250,Beverages,,
161396,chacha sweets house,Abohar,Abohar,,--,Too Few Ratings,₹ 200,200,"Sweets,Beverages",,
382249,Cafe M,Abohar,Abohar,,--,Too Few Ratings,₹ 200,200,"Continental,Snacks",,
161408,Frankie roll junction,Abohar,Abohar,,--,Too Few Ratings,₹ 60,60,"North Indian,Fast Food",,
432684,G.K Dhaba,Abohar,Abohar,,--,Too Few Ratings,₹ 300,300,"North Indian,Thalis",,
459776,DAYA RAJ VEG VAISHNO DHABA AND  CATERS,Abohar,Abohar,,--,Too Few Ratings,₹ 300,300,"Chinese,Snacks",,
459775,JUICY BAR N RESTO,Abohar,Abohar,,--,Too Few Ratings,₹ 300,300,"Beverages,Pizzas",,
420637,FresHub,Abohar,Abohar,,--,Too Few Ratings,₹ 200,200,Beverages,,
420479,The Food Factory,Abohar,Abohar,,--,Too Few Ratings,₹ 200,200,"North Indian,South Indian",,
427606,MUNNA PUNJABI RASOI,Abohar,Abohar,,--,Too Few Ratings,₹ 400,400,"Chinese,Indian",,
531363,Grill Master By Sharda Anita Enterprises,Abohar,Abohar,,--,Too Few Ratings,₹ 250,250,"Fast Food,Italian",,
156592,Maruti Plaza,Abohar,Abohar,,--,Too Few Ratings,₹ 150,150,"Beverages,Snacks",,
373319,Nikku Chaap Cafe,Abohar,Abohar,,--,Too Few Ratings,₹ 200,200,"Indian,Chinese",,
508318,DK Food Point,Abohar,Abohar,,--,Too Few Ratings,₹ 100,100,Chaat,,
407243,TUMMY CLINIK FAST FOOD CORNER,Abohar,Abohar,,--,Too Few Ratings,₹ 200,200,"Snacks,Chinese",,
187915,Sagar Fast Food,Abohar,Abohar,,--,Too Few Ratings,₹ 200,200,"North Indian,Fast Food",,
461724,SUDESH FAST FOOD,Abohar,Abohar,,4,20+ ratings,₹ 250,250,"Bakery,Chinese",,
156542,Sonu Tandoori Paties,Abohar,Abohar,,--,Too Few Ratings,₹ 100,100,North Indian,,
161405,Bihari da vaishno dhaba,Abohar,Abohar,,4,20+ ratings,₹ 200,200,North Indian,,
462070,SHRI GANESH SWEET HOUSE,Abohar,Abohar,,--,Too Few Ratings,₹ 200,200,Indian,,
455475,Kwality Walls Frozen Dessert and Ice Cream Shop,"Adajan,Surat",Surat,Adajan,4.3,50+ ratings,₹ 200,200,"Ice Cream,Desserts",,
560430,K18 Momos,"Adajan,Surat",Surat,Adajan,--,Too Few Ratings,₹ 200,200,Chinese,,
66215,Coffee Culture,"Adajan,Surat",Surat,Adajan,3.9,100+ ratings,₹ 350,350,"Pizzas,Pastas",,
65005,La Patissierie,"Adajan,Surat",Surat,Adajan,4.4,100+ ratings,₹ 300,300,"Sweets,Desserts",,
563704,Bhaga's Coco,"Adajan,Surat",Surat,Adajan,--,Too Few Ratings,₹ 200,200,Beverages,,
65007,Coffee King,"Adajan,Surat",Surat,Adajan,4.2,100+ ratings,₹ 350,350,"Beverages,Desserts",,
560559,Bavaji dairy,"Adajan,Surat",Surat,Adajan,--,Too Few Ratings,₹ 120,120,"Desserts,Sweets",,
99017,Pizza Hut,"Adajan,Surat",Surat,Adajan,3.8,100+ ratings,₹ 350,350,"Fast Food,Pizzas",,
406185,Rasta One Nation,"Adajan,Surat",Surat,Adajan,--,Too Few Ratings,₹ 400,400,"Italian,Chinese",,
481883,Monginis,"Adajan,Surat",Surat,Adajan,--,Too Few Ratings,₹ 300,300,"Bakery,Desserts",,
525673,Waterbomb Panipuri Shop,"Adajan,Surat",Surat,Adajan,--,Too Few Ratings,₹ 100,100,"Chaat,Snacks",,
421698,24 Carats Mithai Magic,"Adajan,Surat",Surat,Adajan,4.7,50+ ratings,₹ 500,500,"Desserts,Sweets",,
442399,Riyanshi Fast Food & Juice,"Adajan,Surat",Surat,Adajan,--,Too Few Ratings,₹ 100,100,"Fast Food,Chinese",,
386364,Om Jalaram Khichadi,"Adajan,Surat",Surat,Adajan,--,Too Few Ratings,₹ 300,300,Indian,,
489375,Br Pizza,"Adajan,Surat",Surat,Adajan,--,Too Few Ratings,₹ 250,250,"Fast Food,Pizzas",,
68990,Sizzling Culture,"Adajan,Surat",Surat,Adajan,3.6,100+ ratings,₹ 300,300,"Mexican,Pizzas",,
551718,Chai Makers,"Adajan,Surat",Surat,Adajan,--,Too Few Ratings,₹ 300,300,"Beverages,Fast Food",,
459845,Bombay Sandwich Badshah,"Adajan,Surat",Surat,Adajan,--,Too Few Ratings,₹ 200,200,"Snacks,Indian",,
458513,Lassi N Shakes,"Adajan,Surat",Surat,Adajan,--,Too Few Ratings,₹ 150,150,"Beverages,Ice Cream",,
572422,Huseni Food Villa,"Adajan,Surat",Surat,Adajan,--,Too Few Ratings,₹ 300,300,"Biryani,North Indian",,
441059,Dil Dosti Chai,"Adajan,Surat",Surat,Adajan,--,Too Few Ratings,₹ 200,200,"Italian,Beverages",,
414939,Eggs Cafe,"Adajan,Surat",Surat,Adajan,--,Too Few Ratings,₹ 300,300,Indian,,
502785,Ravi kitchen,"Adajan,Surat",Surat,Adajan,--,Too Few Ratings,₹ 400,400,"Chinese,Snacks",,
97063,Cake It Out,"Adajan,Surat",Surat,Adajan,4.5,100+ ratings,₹ 300,300,"Desserts,Ice Cream",,
321975,Tawah,"Adajan,Surat",Surat,Adajan,4.1,100+ ratings,₹ 400,400,"North Indian,Biryani",,
66596,McDonald's,"Adajan,Surat",Surat,Adajan,4.3,500+ ratings,₹ 400,400,"Burgers,Beverages",,
457875,S.S Kachoriwala Gwalior,"Adajan,Surat",Surat,Adajan,--,Too Few Ratings,₹ 200,200,"Indian,Snacks",,
515402,Shiv Paneer Shawarma,"Adajan,Surat",Surat,Adajan,--,Too Few Ratings,₹ 200,200,"Arabian,Snacks",,
87293,Maa Paratha Center,"Adajan,Surat",Surat,Adajan,4.4,100+ ratings,₹ 250,250,Indian,,
112302,Kumar Sandwich,"Adajan,Surat",Surat,Adajan,--,Too Few Ratings,₹ 100,100,"Fast Food,Snacks",,
517941,Ahuja s Biryani,"Adajan,Surat",Surat,Adajan,--,Too Few Ratings,₹ 200,200,"North Indian,Punjabi",,
65029,Subway,"Adajan,Surat",Surat,Adajan,4.1,100+ ratings,₹ 350,350,"Fast Food,Healthy Food",,
193542,Oven Story Pizza,"Adajan,Surat",Surat,Adajan,4,1K+ ratings,₹ 400,400,Pizzas,,
193543,Firangi Bake,"Adajan,Surat",Surat,Adajan,4.2,50+ ratings,₹ 500,500,"Italian,Mexican",,
